animal,disease,fever,cough,diarrhea,vomiting,lethargy,rash,swelling,loss_of_appetite,recommendation
Horse,Laminitis,1,1,1,1,0,1,0,1,Restrict movement and cold therapy.
Cat,Rabies,0,1,0,0,1,0,1,0,Isolate and seek veterinary help immediately.
Cow,Foot and Mouth Disease,1,0,1,0,1,0,0,1,Disinfect surroundings and isolate infected animals.
Cow,Mastitis,1,1,1,0,1,0,1,0,Use antibiotics and clean udder regularly.
Cow,Bloat,1,1,0,0,1,1,0,1,Avoid diet changes and administer anti-bloat medication.
Goat,Foot Rot,1,0,1,0,0,0,0,0,Foot baths and antibiotics.
Goat,Orf,1,0,1,1,1,0,0,0,Use topical ointments and isolate infected goats.
Cat,Toxoplasmosis,1,1,1,0,1,0,1,0,Antibiotic treatment and hygiene maintenance.
Horse,Colic,1,0,0,0,1,1,1,1,Do not feed and consult a vet immediately.
Goat,Orf,0,1,0,0,1,0,0,0,Use topical ointments and isolate infected goats.
Chicken,Avian Influenza,0,0,0,0,1,1,0,1,Notify authorities and cull affected birds.
Dog,Distemper,0,1,1,1,0,0,0,1,Supportive care and antibiotics to prevent secondary infections.
Cat,Feline Calicivirus,0,1,1,1,1,0,1,1,Fluids and pain relief.
Cow,Mastitis,0,1,1,1,1,0,0,0,Use antibiotics and clean udder regularly.
Dog,Lyme Disease,1,0,0,0,0,0,0,1,Use tick prevention and antibiotics.
Horse,Tetanus,1,1,0,0,1,1,0,0,Vaccinate and treat wounds promptly.
Dog,Rabies,0,1,1,0,0,0,1,0,Immediate vet attention and notify local authorities.
Chicken,Marek’s Disease,0,1,0,0,0,1,1,1,Vaccinate chicks early.
Cat,Toxoplasmosis,0,0,0,0,0,0,1,1,Antibiotic treatment and hygiene maintenance.
Cat,Toxoplasmosis,0,0,1,1,0,0,0,0,Antibiotic treatment and hygiene maintenance.
Chicken,Avian Influenza,0,0,1,0,1,0,1,1,Notify authorities and cull affected birds.
Cow,Mastitis,1,1,1,0,1,1,1,0,Use antibiotics and clean udder regularly.
Horse,Laminitis,1,1,1,1,1,1,1,0,Restrict movement and cold therapy.
Goat,Foot Rot,1,1,1,0,1,0,1,1,Foot baths and antibiotics.
Cat,Rabies,0,0,0,0,0,1,0,0,Isolate and seek veterinary help immediately.
Chicken,Fowl Pox,1,1,1,1,0,1,0,0,Isolate and apply iodine on lesions.
Horse,Equine Influenza,0,0,0,0,1,0,0,0,Allow rest and use anti-inflammatories.
Horse,Equine Influenza,1,1,0,1,0,1,1,1,Allow rest and use anti-inflammatories.
Cat,Feline Leukemia,1,0,0,1,1,1,0,1,Regular vet checks and antiviral medications.
Cat,Rabies,0,0,0,1,1,0,0,1,Isolate and seek veterinary help immediately.
Cow,Anthrax,0,0,0,1,0,0,1,0,Avoid exposure and seek immediate vet attention.
Dog,Kennel Cough,1,0,1,0,1,0,1,1,Provide rest and use prescribed antibiotics.
Cat,Feline Calicivirus,0,0,0,0,0,1,0,1,Fluids and pain relief.
Horse,Colic,0,1,0,1,1,1,1,0,Do not feed and consult a vet immediately.
Chicken,Avian Influenza,0,1,1,1,1,1,0,0,Notify authorities and cull affected birds.
Cow,Mastitis,1,1,0,0,1,1,1,1,Use antibiotics and clean udder regularly.
Dog,Distemper,0,0,1,0,1,0,0,0,Supportive care and antibiotics to prevent secondary infections.
Dog,Distemper,0,0,1,0,1,0,0,0,Supportive care and antibiotics to prevent secondary infections.
Cow,Foot and Mouth Disease,0,1,0,0,1,0,1,1,Disinfect surroundings and isolate infected animals.
Chicken,Avian Influenza,1,1,1,0,1,0,0,0,Notify authorities and cull affected birds.
Cow,Bloat,1,0,1,0,0,1,0,0,Avoid diet changes and administer anti-bloat medication.
Horse,Equine Influenza,1,1,0,1,0,0,0,0,Allow rest and use anti-inflammatories.
Dog,Rabies,1,0,0,1,1,1,1,1,Immediate vet attention and notify local authorities.
Chicken,Fowl Pox,1,0,1,1,0,1,1,0,Isolate and apply iodine on lesions.
Chicken,Newcastle Disease,1,1,1,1,0,0,0,0,Vaccinate and isolate infected birds.
Horse,Colic,1,0,0,0,0,0,1,0,Do not feed and consult a vet immediately.
Horse,Laminitis,1,1,0,0,1,0,1,0,Restrict movement and cold therapy.
Cat,Rabies,0,0,1,1,0,0,1,0,Isolate and seek veterinary help immediately.
Goat,Orf,0,1,0,1,0,0,1,0,Use topical ointments and isolate infected goats.
Cat,Toxoplasmosis,0,1,1,0,1,1,1,0,Antibiotic treatment and hygiene maintenance.
Horse,Laminitis,0,0,0,1,1,1,1,0,Restrict movement and cold therapy.
Chicken,Marek’s Disease,0,1,1,0,1,0,1,1,Vaccinate chicks early.
Goat,Foot Rot,1,1,1,0,0,0,0,1,Foot baths and antibiotics.
Goat,Orf,0,0,0,1,1,1,0,0,Use topical ointments and isolate infected goats.
Horse,Colic,0,1,0,0,0,0,1,1,Do not feed and consult a vet immediately.
Cow,Anthrax,0,0,1,1,0,0,1,0,Avoid exposure and seek immediate vet attention.
Horse,Colic,1,0,0,0,0,1,0,1,Do not feed and consult a vet immediately.
Horse,Colic,1,1,1,0,0,1,0,1,Do not feed and consult a vet immediately.
Horse,Equine Influenza,0,0,0,1,1,1,0,1,Allow rest and use anti-inflammatories.
Dog,Lyme Disease,1,1,0,1,1,0,0,1,Use tick prevention and antibiotics.
Cow,Bloat,1,1,1,1,0,1,1,0,Avoid diet changes and administer anti-bloat medication.
Chicken,Newcastle Disease,0,0,0,1,0,0,0,1,Vaccinate and isolate infected birds.
Chicken,Marek’s Disease,1,0,1,1,0,0,1,0,Vaccinate chicks early.
Dog,Rabies,1,0,1,1,1,0,0,0,Immediate vet attention and notify local authorities.
